ex_date,dividend,payment_date
2024-06-20,33.5,2024-07-05
2023-07-05,31.06,2023-07-21
2022-06-17,20.59,2022-07-08
2021-06-18,32.15,2021-07-09
2020-08-14,18.1,2020-09-04
2019-05-24,28.25,2019-06-14
2018-05-28,22.81,2018-06-21
2017-06-05,16.47,2017-06-20
2016-05-30,15.4,
2015-05-28,16.0,
2014-06-10,6.0,
2013-06-07,10.0,
2012-06-11,2.5,
2011-06-06,5.185,
2010-05-31,0.92,
2009-05-07,0.76,
2008-04-17,0.349,
