ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-11-22,12.0,2024-12-12,2024,interim
2024-06-12,9.0,2024-06-28,2023,final
2023-11-23,9.0,2023-12-14,2023,interim
2023-06-08,10.0,2023-06-16,2022,final
2022-11-30,10.0,2022-12-12,2022,interim
2022-06-06,7.0,2022-06-22,2021,final
2021-12-02,5.0,2021-12-15,2021,interim
2021-06-07,5.0,2021-06-16,2020,final
2020-08-12,3.0,2020-08-26,2019,final
2019-11-18,3.0,2019-12-10,2019,interim
2019-06-10,8.0,2019-06-21,2018,final
2018-11-16,10.0,2018-12-12,2018,interim
2018-06-20,8.0,2018-07-05,2017,final
2017-11-28,5.0,2017-12-21,2017,interim
2017-06-14,3.0,2017-07-06,2016,final
2016-11-22,5.0,,2016,interim
2016-06-14,7.0,,2015,final
2015-12-04,5.0,,2015,interim
2015-05-22,6.98526,,2014,final
2014-12-10,4.98947,,2014,interim
2014-06-24,4.98947,,2013,final
2013-12-23,4.98947,,2013,interim
2013-07-01,4.98947,,2012,final
2012-12-21,4.98947,,2012,interim
2012-06-25,4.98947,,2011,final
2011-12-21,4.98947,,2011,interim
2011-07-04,3.99158,,2010,final
2010-12-20,3.49263,,2010,interim
2010-06-28,5.98737,,2009,final
2009-07-13,1.74632,,2008,final
2008-07-08,1.74632,,2007,final
2007-06-29,1.99579,,2006,final
2006-06-23,1.49684,,2005,final
2005-07-01,0.99789,,2004,final
2004-07-02,0.99789,,2003,final
2003-07-02,0.99789,,2002,final
