ex_date,dividend,payment_date
2023-07-11,5,2023-07-28
2022-06-28,20,2022-07-20
2021-08-18,10,2021-09-08
2020-09-03,5,2020-09-25
2019-07-02,5,2019-07-25
2017-07-03,5,2017-07-17
2016-05-20,5,
2015-05-22,5,
2014-07-10,5,
2013-05-30,10,
2012-05-04,20,
2011-05-12,20,
2010-05-27,15,
2009-06-16,10,
2008-06-12,5,
2007-06-14,5,
2006-06-29,3,
2005-06-17,5,
2004-06-22,10,
