ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-04-14,703.0,2025-04-25,2024,final
2024-04-16,972.0,2024-04-30,2023,final
2023-04-14,803.0,2023-05-04,2022,final
2022-04-08,607.0,2022-04-28,2021,final
2021-07-09,513.0,2021-07-30,2020,final
2020-04-09,1054.5,2020-04-30,2019,final
2019-04-10,908.0,2019-04-30,2018,final
2018-04-30,704.5,2018-05-23,2017,final
2017-05-26,505.0,2017-06-16,2016,final
2016-05-26,332.5,,2015,final
2015-05-29,396.0,,2014,final
2014-11-12,2700.0,,2014,interim
2014-10-31,2700.0,,2013,final
2013-06-11,709.29999,,2012,final
2012-05-30,791.5,,2011,final
2011-06-10,954.14002,,2010,final
2010-05-31,242.48,,2009,final
2009-04-24,510.0,,2008,final
2008-05-02,280.0,,2007,final
2007-06-19,232.0,,2006,final
2006-07-18,238.0,,2005,final
2005-08-15,298.0,,2004,final
