ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-04-14,466.18434,2025-04-23,2024,final
2024-03-20,353.95752,2024-03-28,2023,final
2023-03-27,264.66837,2023-04-12,2022,final
2022-03-21,180.31778,2022-04-06,2021,final
2021-03-24,110.13588,2021-04-12,2020,final
2020-02-28,176.67085,2020-03-20,2019,final
2019-05-27,120.60814,2019-06-19,2018,final
2018-03-29,99.51275,2018-04-20,2018,interim
2018-03-23,199.02551,,2017,final
2017-03-22,66.56738,2017-04-13,2016,final
2016-03-30,65.3624,,2015,final
2015-03-24,53.22823,,2014,final
2014-03-27,58.51205,,2013,final
2013-04-29,49.8345,,2012,final
2012-05-16,26.24153,,2011,final
2011-06-16,30.1497,,2010,final
2010-12-22,4.82872,,2010,interim
2010-06-10,24.60924,,2009,final
2009-12-03,4.73566,,2009,interim
2009-05-27,21.8529,,2008,final
2008-06-20,45.99648,,2007,final
2007-06-20,17.27664,,2006,final
2006-06-15,3.65125,,2005,final
2005-06-14,17.32974,,2004,final
2004-12-17,14.74955,,2004,interim
2004-06-14,15.97868,,2003,final
2003-12-17,12.29129,,2002,final
