ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-10-15,59.0,2025-10-24,2025,interim
2025-05-09,133.0,2025-05-28,2024,final
2024-10-15,57.0,2024-10-24,2024,interim
2024-05-08,132.0,2024-05-22,2023,final
2023-10-13,40.0,2023-10-24,2023,interim
2023-04-27,88.0,2023-05-11,2022,final
2022-10-14,22.0,2022-10-24,2022,interim
2022-04-22,40.0,2022-05-12,2021,final
2021-10-12,11.0,2021-10-22,2021,interim
2021-04-21,15.5,2021-05-11,2020,final
2020-06-18,42.0,2020-07-09,2019,final
2019-10-09,19.0,2019-10-23,2019,interim
2019-04-24,36.0,2019-05-09,2018,final
2018-10-08,15.0,2018-10-22,2018,interim
2018-04-23,33.0,2018-05-11,2017,final
2017-10-09,13.0,2017-10-20,2017,interim
2017-04-25,26.0,2017-05-12,2017,interim
2017-04-21,26.0,,2016,final
2016-10-03,9.0,,2016,interim
2016-04-29,17.0,,2015,final
2015-10-01,10.0,,2015,interim
2015-04-28,48.0,,2014,final
2014-10-10,24.0,,2014,interim
2014-05-22,61.5,,2013,final
2013-10-03,22.0,,2013,interim
2013-05-15,87.0,,2012,final
2012-05-10,71.92306,,2011,final
2011-10-28,28.76922,,2011,interim
2011-05-24,83.23895,,2010,final
2010-10-27,30.30358,,2010,interim
2010-06-15,91.67793,,2009,final
2009-11-03,23.01538,,2009,interim
2009-06-04,34.33127,,2008,final
2008-10-24,22.0564,,2008,interim
2008-06-10,39.31794,,2007,final
2007-10-24,5.75385,,2007,interim
2007-06-13,11.50769,,2006,final
2006-11-10,2.87692,,2006,interim
2006-06-07,19.17948,,2005,final
2005-06-08,11.50769,,2004,final
2004-06-14,9.58974,,2003,final
2003-06-12,16.30256,,2002,final
2002-07-12,12.46666,,2001,final
