ex_date,dividend,payment_date
2022-06-07,3.47811,2022-06-29
2021-08-26,3.27352,2021-09-17
2020-09-01,4.70568,2020-09-24
2019-06-28,9.00217,2019-07-19
2018-06-21,8.18379,2018-07-06
2017-06-15,6.99714,2017-07-07
2016-06-16,5.07395,
2015-06-19,4.59111,
2014-07-04,4.99211,
2013-07-04,5.06577,
2012-07-02,3.80546,
2011-07-08,2.45514,
2010-07-01,2.45514,
2009-06-29,2.44695,
2008-05-29,1.84135,
2007-06-14,2.45514,
