ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-05-28,45.58056,2025-06-18,2024,final
2024-12-09,28.24137,2024-12-18,2024,interim
2024-06-07,43.91709,2024-06-25,2023,final
2023-12-08,29.47084,2023-12-20,2023,interim
2023-05-17,41.68516,2023-06-06,2022,final
2022-12-12,24.72133,2022-12-21,2022,interim
2022-06-27,40.2805,2022-07-15,2021,final
2021-11-23,20.72272,2021-12-10,2021,interim
2021-06-11,36.83611,2021-06-23,2020,final
2020-12-04,16.58993,2020-12-18,2020,interim
2020-07-28,41.93394,2020-08-14,2019,final
2019-12-17,24.88564,2019-12-27,2019,interim
2019-04-29,41.7149,2019-05-22,2018,final
2018-11-01,23.61045,2018-11-23,2018,interim
2018-04-27,45.98634,2018-05-23,2017,final
2017-11-30,12.60913,2017-12-13,2017,interim
2017-05-19,46.87371,2017-06-14,2016,final
2016-11-24,8.37128,,2015,final
