ex_date,dividend,payment_date
2023-06-26,41.9516,2023-07-14
2022-06-06,61.2236,2022-06-24
2019-05-03,24.97,2019-05-24
2018-04-24,23.61059,2018-05-17
2017-05-09,10.14394,2017-06-02
2016-04-15,4.092,
2015-04-06,25.6977,
2014-04-17,38.03946,
2013-05-13,28.97054,
2012-05-11,60.20494,
2011-07-19,63.63788,
2010-07-12,21.06396,
2009-06-30,89.87829,
2008-07-18,119.80708,
2007-05-14,13.97371,
2006-06-08,6.81521,
2005-06-21,10.9611,
2004-06-08,4.58109,
2004-05-12,4.01817,
2003-06-05,0.43452,
2002-06-10,1.67795,
2001-06-11,8.03701,
