ex_date,dividend,payment_date
2024-06-27,41.05,2024-07-19
2023-06-16,29.89,2023-07-05
2022-06-20,22.255,2022-07-08
2021-06-21,18.79,2021-07-07
2020-06-22,18.545,2020-07-08
2019-05-23,0.0026,2019-06-14
2012-06-28,5.0,
2011-06-28,2.5,
2010-06-29,17.5,
2007-06-19,10.0,
2005-06-17,2.5,
2004-06-29,2.5,
2003-06-27,2.5,
2002-07-11,2.5,
2001-07-06,2.0,
