ex_date,dividend,payment_date
2024-12-09,243.73,2024-12-17
2024-09-03,397.26999,2024-09-13
2024-06-11,410.42001,2024-06-25
2024-05-29,232.21001,2024-06-07
2023-12-14,237.52,2023-12-22
2023-09-01,846.92999,2023-09-12
2022-11-08,265.13001,2022-11-17
2022-09-12,505.75,2022-09-21
2022-06-10,297.39002,2022-06-21
2022-06-06,62.3,2022-06-15
2022-01-07,265.89999,2022-01-18
2021-11-25,145.28,2021-12-07
2021-08-18,146.28999,2021-08-31
2021-05-20,184.0,2021-05-28
2021-04-26,186.05,2021-05-04
2021-01-06,72.84,2021-01-15
2020-12-14,48.2,2020-12-22
2020-08-26,132.60001,2020-09-02
2019-07-09,55.4,2019-07-19
2019-01-02,37.03,2019-01-10
2018-05-22,47.8,2018-05-31
2018-05-14,94.76,2018-05-22
2017-12-27,138.44,2018-01-12
2017-08-08,33.973,2017-08-16
2017-06-07,33.9,2017-06-20
2016-11-21,29.5,
2016-07-27,6.805,
2015-06-29,3.4,
2015-04-14,3.36,
2013-05-30,31.5,
2012-12-07,17.5,
2012-07-23,5.75,
