ex_date,dividend,payment_date
2024-04-18,10.29365,2024-04-30
2023-04-12,7.72061,2023-04-28
2022-04-05,6.47496,2022-04-28
2021-04-07,3.32308,2021-04-29
2020-04-08,4.83505,2020-04-29
2019-04-10,7.19862,2019-04-30
2018-04-16,5.29717,2018-05-04
2017-04-10,5.71909,2017-04-26
2009-04-30,2.72521,
2008-06-09,3.81339,
2007-06-13,4.95836,
2006-05-17,4.99621,
2005-05-20,4.8732,
