ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-05-21,397.71201,2024-06-07,2023,final
2023-06-26,1094.05005,2023-07-14,2022,final
2022-06-06,688.51502,2022-06-24,2021,final
2021-04-14,74.69438,2021-05-07,2020,final
2020-06-19,326.46457,2020-07-10,2019,final
2019-05-07,339.63101,2019-05-29,2018,final
2018-04-19,318.521,2018-05-11,2017,final
2017-05-02,57.1,2017-05-24,2016,final
2016-04-22,57.946,,2015,final
2015-04-08,64.914,,2014,final
2014-04-29,92.394,,2013,final
2013-05-21,144.14999,,2012,final
2012-05-30,140.09599,,2011,final
2011-11-29,20.692,,2011,interim
2011-07-05,91.274,,2010,final
2010-12-21,13.35,,2010,interim
2010-05-27,93.33,,2009,final
2009-11-26,13.35,,2009,interim
2009-06-19,74.21,,2008,final
2008-06-19,32.994,,2007,final
2007-05-30,21.078,,2006,final
2006-06-05,20.2706,,2005,final
2005-07-06,17.495,,2004,final
2004-12-23,1.16,,2004,interim
2004-06-10,11.6,,2003,final
2003-05-22,8.35,,2002,final
